_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,classification,classification:confidence,classification_gold,id,text
957442921,finalized,3,5/19/2016 20:29:20,islamic-faith,1.0,,718013047302922240,أذكار الأذان:اللهم رب هذه الدعوة التامة والصلاة القائم ♻️ 
957442922,finalized,3,5/19/2016 21:03:21,"","",,718013065787281408, خذوا الحكمة ممن سمعتموها منه ، فإنه قد يقول الحكمة غير الحكيم ، وتكون الرّمية من غير الرامي 
957442923,finalized,3,5/19/2016 21:09:19,"","",,718015022375571456,ثـلاث أدعية لٱ تنساها : اللهم إني اسألك حسن الخاتمة . اللهم ارزقني توبةً نصوحا قبل الموت . اللهم يا مقلب القلوب ثبت قلبي على دينك .
957442932,finalized,3,5/19/2016 20:03:45,"","",,718016374333956096, بسم الله ندشّن حسابنا الشخصي على تويتر لتعزيز التواصل مع كافة أبناء مجتمعنا الكريم بما يحقق تطلعات خادم الحرمين الشريفين…
957442933,finalized,3,5/19/2016 20:07:07,"","",,718016631583162368, الأمل والتفاؤل هما زهرة الحياة.. #الغوطة_الشرقية #دوما عدسة - محروس مازن #Syria #Douma 
957442934,finalized,3,5/19/2016 20:17:21,"","",,718018699320553472,أذكار الأذان:يدعو لنفسه بين الأذان والإقامة فإن الدعاء حينئذٍ لا يرد 
957442935,finalized,3,5/19/2016 20:36:00,islamic-faith,1.0,,718018915318804480,﷽ ﴿ذلك جزاؤهم بأنهم كفروا بآياتنا وقالوا أإذا كنا عظاما ورفاتا أإنا لمبعوثون خلقا جديدا﴾ ⬅️ 
957442936,finalized,3,5/19/2016 20:43:07,none,1.0,,718019023041138688, نعم هذا الدواء مننوع اصلا ينصرف في الصيدليات لان cytotec هو علاج يستعمل للاجهاض
957442937,finalized,3,5/19/2016 20:43:07,none,1.0,,718019032184721408,# طفل مرمي وسط الكلاب والتقطته عائله في مدينة عيسى ( البحرين) ليست قصة من الخيال !!! 
957442938,finalized,3,5/19/2016 21:07:22,none,1.0,,718019111582900224,# طفل مرمي وسط الكلاب والتقطته عائله في مدينة عيسى ( البحرين) ليست قصة من الخيال !!! 
957442939,finalized,3,5/19/2016 20:26:54,none,1.0,,718020219059453952, توثيق للحساب الأحتياط . والحساب daimm21 مازال يعمل 
957442940,finalized,3,5/19/2016 20:03:45,"","",,718020859647107072, النظام لن يسمح بوجود داعش في الضمير ... فضيحة جديدة لــ جيش الاسلام 
957442941,finalized,3,5/19/2016 20:36:00,"","",,718021282541998080, أخي -بارك الله فيك- خصص جزءاً من وقتك لتتأمل حجاب محارمك وعباءاتهن، وتتأكد أنها لا تصف ولا تشفّ، وأنها تخلو من الزركشة…
957442942,finalized,3,5/19/2016 20:55:58,"","",,718021463178092544, من أقوال السلف سأل رجلٌ حذيفة هل أنا من المنافقين؟ قال: أتصلي إذا خلوت وتستغفر إذا أذنبت ؟ قال: نعم قال اذهب فما جعلك الله مناف…
957442943,finalized,3,5/19/2016 20:54:26,islamic-faith,1.0,,718022204026445824,ماشاء الله 
957442944,finalized,3,5/19/2016 20:26:08,islamic-faith,1.0,,718023018941911040,اللهم اغفر للمسلمين والمسلمات والمؤمنين والمؤمنات الأحياء منهم والأموات 
957442945,finalized,3,5/19/2016 20:55:58,none,1.0,,718023564683833344, الله يبشرك بالخير ..
957442946,finalized,3,5/19/2016 20:58:20,"","",,718023839352008704,﷽ ﴿ذلك جزاؤهم بأنهم كفروا بآياتنا وقالوا أإذا كنا عظاما ورفاتا أإنا لمبعوثون خلقا جديدا﴾ ⬅️ 
957442947,finalized,3,5/19/2016 20:36:00,"","",,718024146307981312, عجيييب سلمية الاخونج التي تربت عليها الامه كلها فسامح واصفح فانت مسلم لما؟! لان من سيدمر اليهود اناس اولو باس شديد. #بس?
957442948,finalized,3,5/19/2016 21:06:25,none,1.0,,718024314042195968,هكذا هِيَ الحكمة ان لاتتمسك في الارض لكي يأتي طائيرات عدوك وينهيك ويدمّر قواتك بل ضع له الأجواء وبعدها تفنن في صيده 
957442949,finalized,3,5/19/2016 20:31:21,"","",,718025069151318016,أحفظها تحفظك. َ 1- إن كنت في الصلاة فاحفظ قلبك 2 - وإن كنت في مجالس الناس فاحفظ لسانك 3 - وإن كنت في بيوت الناس فاحفظ بصرك َ #اذكار
957442950,finalized,3,5/19/2016 20:51:19,none,1.0,,718026940108570624, هذا النظام لا يفهم الا هكذا مفاوضات غير ذالك سلموا البلاد وارجعوا عند عبيد خلص الكلام 
957442951,finalized,3,5/19/2016 20:19:23,islamic-faith,1.0,,718027292363079680,أذكار الأذان:اللهم رب هذه الدعوة التامة والصلاة القائم ♻️ 
957442952,finalized,3,5/19/2016 20:23:38,syrian-war,1.0,,718027882019352576, #عاجل #ريف_حلب_الشمالي تحريرالأجزاء الغربية من بلدة الراعي وكامل منطقة الصوامع ومحطة القطار ووصول المعارك إلى ثانوية الراعي…
957442953,finalized,3,5/19/2016 20:19:23,islamic-faith,1.0,,718028659206914048,ومن آياته أن خلق لكم من أنفسكم أزواجا لتسكنوا إليها وجعل بينكم مودة ورحمة إن في ذلك لآيات لقوم يتفكرون (21) -- سورة الروم #Quran
957442954,finalized,3,5/19/2016 20:19:59,"","",,718030121265926144,اللهم احفظ ملك الحزم 
957442955,finalized,3,5/19/2016 21:01:33,"","",,718030217164492800, مقال #الفلوجة قلعة الصمود لـ أ. عبدالله القيسي 
957442956,finalized,3,5/19/2016 20:02:14,"","",,718032749450436608, كيف لي أن أصف صمود المجاهدين في العيس ..أٌقسم..أني لا أستطيع أن أتخيّل صمودهم وثباتهم. ماهذه العزّة والإباء.. ماهذه البشر لله…
957442957,finalized,3,5/19/2016 20:03:45,"","",,718033340897603584, طفل بعينك الولد بلغ التكليف ومرحلة المراهقة الآن واذا له الرغبة في الزواج لماذا يمنع واذا اردتي ان تعرفي المعنى انظري للمراهق
957442958,finalized,3,5/19/2016 20:26:08,"","",,718033693495967744, البريطاني الاصغر منه سناً الذي انجبت منه بنت طفل وسمي اصغر اب في العالم من عملية مولود له بالزنا وليس بالزواج وانظري لحال
957442959,finalized,3,5/19/2016 20:31:21,"","",,718033703008477184,من باب مواساة الفقراء والمحتاجين أقول لهم: يدخل الفقراء الجنة قبل الأغنياء بنصف يوم [500عام].. فطيبوا نفساً..?
957442960,finalized,3,5/19/2016 20:13:34,"","",,718034000024059904, الروافض والزنا عندهم في سن المراهقة والبلوغ لايمكن احصائه اكثرة طوامهم بمى يسمى المتعة وهو زنى وبغاء
